"","X_id","CIVIC_CENTRE","MARRIAGE_LICENSES","TIME_PERIOD"
"146",15526,"NY",186,"2014-01"
"147",15527,"SC",139,"2014-01"
"148",15528,"TO",375,"2014-01"
"149",15529,"ET",93,"2014-02"
"150",15530,"NY",134,"2014-02"
"151",15531,"SC",126,"2014-02"
"152",15532,"TO",364,"2014-02"
"153",15533,"ET",151,"2014-03"
"154",15534,"NY",201,"2014-03"
"155",15535,"SC",180,"2014-03"
"156",15536,"TO",530,"2014-03"
"157",15537,"ET",151,"2014-04"
"158",15538,"NY",240,"2014-04"
"159",15539,"SC",229,"2014-04"
"160",15540,"TO",674,"2014-04"
"161",15541,"ET",219,"2014-05"
"162",15542,"NY",318,"2014-05"
"163",15543,"SC",298,"2014-05"
"164",15544,"TO",847,"2014-05"
"165",15545,"ET",240,"2014-06"
"166",15546,"NY",309,"2014-06"
"167",15547,"SC",315,"2014-06"
"168",15548,"TO",942,"2014-06"
"169",15549,"ET",252,"2014-07"
"170",15550,"NY",348,"2014-07"
"171",15551,"SC",338,"2014-07"
"172",15552,"TO",1024,"2014-07"
"173",15553,"ET",239,"2014-08"
"174",15554,"NY",351,"2014-08"
"175",15555,"SC",288,"2014-08"
"176",15556,"TO",967,"2014-08"
"177",15557,"ET",169,"2014-09"
"178",15558,"NY",228,"2014-09"
"179",15559,"SC",225,"2014-09"
"180",15560,"TO",658,"2014-09"
"181",15561,"ET",126,"2014-10"
"182",15562,"NY",180,"2014-10"
"183",15563,"SC",206,"2014-10"
"184",15564,"TO",489,"2014-10"
"185",15565,"ET",77,"2014-11"
"186",15566,"NY",138,"2014-11"
"187",15567,"SC",111,"2014-11"
"188",15568,"TO",347,"2014-11"
"189",15569,"ET",109,"2014-12"
"190",15570,"NY",162,"2014-12"
"191",15571,"SC",157,"2014-12"
"192",15572,"TO",357,"2014-12"
"193",15573,"ET",123,"2015-01"
"194",15574,"NY",140,"2015-01"
"195",15575,"SC",149,"2015-01"
"196",15576,"TO",327,"2015-01"
"197",15577,"ET",108,"2015-02"
"198",15578,"NY",159,"2015-02"
"199",15579,"SC",130,"2015-02"
"200",15580,"TO",333,"2015-02"
"201",15581,"ET",155,"2015-03"
"202",15582,"NY",224,"2015-03"
"203",15583,"SC",222,"2015-03"
"204",15584,"TO",559,"2015-03"
"205",15585,"ET",149,"2015-04"
"206",15586,"NY",273,"2015-04"
"207",15587,"SC",257,"2015-04"
"208",15588,"TO",665,"2015-04"
"209",15589,"ET",245,"2015-05"
"210",15590,"NY",307,"2015-05"
"211",15591,"SC",306,"2015-05"
"212",15592,"TO",805,"2015-05"
"213",15593,"ET",268,"2015-06"
"214",15594,"NY",386,"2015-06"
"215",15595,"SC",346,"2015-06"
"216",15596,"TO",927,"2015-06"
"217",15597,"ET",317,"2015-07"
"218",15598,"NY",387,"2015-07"
"219",15599,"SC",390,"2015-07"
"220",15600,"TO",1090,"2015-07"
"221",15601,"ET",264,"2015-08"
"222",15602,"NY",336,"2015-08"
"223",15603,"SC",325,"2015-08"
"224",15604,"TO",930,"2015-08"
"225",15605,"ET",174,"2015-09"
"226",15606,"NY",251,"2015-09"
"227",15607,"SC",253,"2015-09"
"228",15608,"TO",713,"2015-09"
"229",15609,"ET",135,"2015-10"
"230",15610,"NY",211,"2015-10"
"231",15611,"SC",186,"2015-10"
"232",15612,"TO",478,"2015-10"
"233",15613,"ET",91,"2015-11"
"234",15614,"NY",176,"2015-11"
"235",15615,"SC",149,"2015-11"
"236",15616,"TO",342,"2015-11"
"237",15617,"ET",104,"2015-12"
"238",15618,"NY",169,"2015-12"
"239",15619,"SC",144,"2015-12"
"240",15620,"TO",335,"2015-12"
"241",15621,"ET",92,"2016-01"
"242",15622,"NY",156,"2016-01"
"243",15623,"SC",131,"2016-01"
"244",15624,"TO",346,"2016-01"
"245",15625,"ET",123,"2016-02"
"246",15626,"NY",170,"2016-02"
"247",15627,"SC",173,"2016-02"
"248",15628,"TO",364,"2016-02"
"249",15629,"ET",155,"2016-03"
"250",15630,"NY",197,"2016-03"
"251",15631,"SC",204,"2016-03"
"252",15632,"TO",517,"2016-03"
"253",15633,"ET",197,"2016-04"
"254",15634,"NY",257,"2016-04"
"255",15635,"SC",246,"2016-04"
"256",15636,"TO",695,"2016-04"
"257",15637,"ET",247,"2016-05"
"258",15638,"NY",326,"2016-05"
"259",15639,"SC",306,"2016-05"
"260",15640,"TO",895,"2016-05"
"261",15641,"ET",255,"2016-06"
"262",15642,"NY",344,"2016-06"
"263",15643,"SC",341,"2016-06"
"264",15644,"TO",1071,"2016-06"
"265",15645,"ET",274,"2016-07"
"266",15646,"NY",384,"2016-07"
"267",15647,"SC",348,"2016-07"
"268",15648,"TO",1041,"2016-07"
"269",15649,"ET",296,"2016-08"
"270",15650,"NY",358,"2016-08"
"271",15651,"SC",333,"2016-08"
"272",15652,"TO",1072,"2016-08"
"273",15653,"ET",228,"2016-09"
"274",15654,"NY",265,"2016-09"
"275",15655,"SC",207,"2016-09"
"276",15656,"TO",656,"2016-09"
"277",15657,"ET",139,"2016-10"
"278",15658,"NY",187,"2016-10"
"279",15659,"SC",171,"2016-10"
"280",15660,"TO",489,"2016-10"
"281",15661,"ET",82,"2016-11"
"282",15662,"NY",148,"2016-11"
"283",15663,"SC",135,"2016-11"
"284",15664,"TO",388,"2016-11"
"285",15665,"ET",96,"2016-12"
"286",15666,"NY",164,"2016-12"
"287",15667,"SC",125,"2016-12"
"288",15668,"TO",362,"2016-12"
"289",15669,"ET",102,"2017-01"
"290",15670,"NY",146,"2017-01"
"291",15671,"SC",147,"2017-01"
"292",15672,"TO",347,"2017-01"
"293",15673,"ET",104,"2017-02"
"294",15674,"NY",170,"2017-02"
"295",15675,"SC",139,"2017-02"
"296",15676,"TO",357,"2017-02"
"297",15677,"ET",183,"2017-03"
"298",15678,"NY",237,"2017-03"
"299",15679,"SC",223,"2017-03"
"300",15680,"TO",608,"2017-03"
"301",15681,"ET",173,"2017-04"
"302",15682,"NY",276,"2017-04"
"303",15683,"SC",222,"2017-04"
"304",15684,"TO",627,"2017-04"
"305",15685,"ET",234,"2017-05"
"306",15686,"NY",323,"2017-05"
"307",15687,"SC",323,"2017-05"
"308",15688,"TO",894,"2017-05"
"309",15689,"ET",250,"2017-06"
"310",15690,"NY",350,"2017-06"
"311",15691,"SC",346,"2017-06"
"312",15692,"TO",943,"2017-06"
"313",15693,"ET",287,"2017-07"
"314",15694,"NY",367,"2017-07"
"315",15695,"SC",320,"2017-07"
"316",15696,"TO",971,"2017-07"
"317",15697,"ET",324,"2017-08"
"318",15698,"NY",344,"2017-08"
"319",15699,"SC",312,"2017-08"
"320",15700,"TO",1066,"2017-08"
"321",15701,"ET",207,"2017-09"
"322",15702,"NY",268,"2017-09"
"323",15703,"SC",233,"2017-09"
"324",15704,"TO",729,"2017-09"
"325",15705,"ET",144,"2017-10"
"326",15706,"NY",219,"2017-10"
"327",15707,"SC",194,"2017-10"
"328",15708,"TO",552,"2017-10"
"329",15709,"ET",98,"2017-11"
"330",15710,"NY",185,"2017-11"
"331",15711,"SC",160,"2017-11"
"332",15712,"TO",393,"2017-11"
"333",15713,"ET",114,"2017-12"
"334",15714,"NY",156,"2017-12"
"335",15715,"SC",132,"2017-12"
"336",15716,"TO",385,"2017-12"
"337",15717,"ET",128,"2018-01"
"338",15718,"NY",156,"2018-01"
"339",15719,"SC",156,"2018-01"
"340",15720,"TO",375,"2018-01"
"341",15721,"ET",145,"2018-02"
"342",15722,"NY",182,"2018-02"
"343",15723,"SC",149,"2018-02"
"344",15724,"TO",344,"2018-02"
"345",15725,"ET",177,"2018-03"
"346",15726,"NY",235,"2018-03"
"347",15727,"SC",187,"2018-03"
"348",15728,"TO",538,"2018-03"
"349",15729,"ET",188,"2018-04"
"350",15730,"NY",238,"2018-04"
"351",15731,"SC",239,"2018-04"
"352",15732,"TO",657,"2018-04"
"353",15733,"ET",229,"2018-05"
"354",15734,"NY",337,"2018-05"
"355",15735,"SC",302,"2018-05"
"356",15736,"TO",880,"2018-05"
"357",15737,"ET",279,"2018-06"
"358",15738,"NY",337,"2018-06"
"359",15739,"SC",338,"2018-06"
"360",15740,"TO",964,"2018-06"
"361",15741,"ET",324,"2018-07"
"362",15742,"NY",408,"2018-07"
"363",15743,"SC",347,"2018-07"
"364",15744,"TO",1090,"2018-07"
"365",15745,"ET",365,"2018-08"
"366",15746,"NY",323,"2018-08"
"367",15747,"SC",392,"2018-08"
"368",15748,"TO",1117,"2018-08"
"369",15749,"ET",209,"2018-09"
"370",15750,"NY",256,"2018-09"
"371",15751,"SC",216,"2018-09"
"372",15752,"TO",719,"2018-09"
"373",15753,"ET",187,"2018-10"
"374",15754,"NY",227,"2018-10"
"375",15755,"SC",186,"2018-10"
"376",15756,"TO",582,"2018-10"
"377",15757,"ET",140,"2018-11"
"378",15758,"NY",199,"2018-11"
"379",15759,"SC",169,"2018-11"
"380",15760,"TO",397,"2018-11"
"381",15761,"ET",108,"2018-12"
"382",15762,"NY",157,"2018-12"
"383",15763,"SC",123,"2018-12"
"384",15764,"TO",329,"2018-12"
"385",15765,"ET",123,"2019-01"
"386",15766,"NY",162,"2019-01"
"387",15767,"SC",151,"2019-01"
"388",15768,"TO",341,"2019-01"
"389",15769,"ET",143,"2019-02"
"390",15770,"NY",190,"2019-02"
"391",15771,"SC",158,"2019-02"
"392",15772,"TO",382,"2019-02"
"393",15773,"ET",170,"2019-03"
"394",15774,"NY",236,"2019-03"
"395",15775,"SC",240,"2019-03"
"396",15776,"TO",576,"2019-03"
"397",15777,"ET",193,"2019-04"
"398",15778,"NY",290,"2019-04"
"399",15779,"SC",237,"2019-04"
"400",15780,"TO",724,"2019-04"
"401",15781,"ET",235,"2019-05"
"402",15782,"NY",336,"2019-05"
"403",15783,"SC",285,"2019-05"
"404",15784,"TO",879,"2019-05"
"405",15785,"ET",242,"2019-06"
"406",15786,"NY",315,"2019-06"
"407",15787,"SC",280,"2019-06"
"408",15788,"TO",901,"2019-06"
"409",15789,"ET",308,"2019-07"
"410",15790,"NY",407,"2019-07"
"411",15791,"SC",323,"2019-07"
"412",15792,"TO",1079,"2019-07"
"413",15793,"ET",281,"2019-08"
"414",15794,"NY",384,"2019-08"
"415",15795,"SC",329,"2019-08"
"416",15796,"TO",1011,"2019-08"
"417",15797,"ET",220,"2019-09"
"418",15798,"NY",247,"2019-09"
"419",15799,"SC",221,"2019-09"
"420",15800,"TO",738,"2019-09"
"421",15801,"ET",150,"2019-10"
"422",15802,"NY",228,"2019-10"
"423",15803,"SC",172,"2019-10"
"424",15804,"TO",576,"2019-10"
"425",15805,"ET",120,"2019-11"
"426",15806,"NY",198,"2019-11"
"427",15807,"SC",156,"2019-11"
"428",15808,"TO",433,"2019-11"
"429",15809,"ET",122,"2019-12"
"430",15810,"NY",187,"2019-12"
"431",15811,"SC",153,"2019-12"
"432",15812,"TO",393,"2019-12"
"433",15813,"ET",130,"2020-01"
"434",15814,"NY",168,"2020-01"
"435",15815,"SC",171,"2020-01"
"436",15816,"TO",426,"2020-01"
"437",15817,"ET",130,"2020-02"
"438",15818,"NY",184,"2020-02"
"439",15819,"SC",160,"2020-02"
"440",15820,"TO",434,"2020-02"
"441",15821,"ET",101,"2020-03"
"442",15822,"NY",122,"2020-03"
"443",15823,"SC",99,"2020-03"
"444",15824,"TO",294,"2020-03"
"445",15825,"TO",47,"2020-04"
"446",15826,"TO",123,"2020-05"
"447",15827,"NY",167,"2020-06"
"448",15828,"SC",222,"2020-06"
"449",15829,"TO",248,"2020-06"
"450",15830,"NY",718,"2020-07"
"451",15831,"SC",782,"2020-07"
"452",15832,"NY",776,"2020-08"
"453",15833,"SC",637,"2020-08"
"454",15834,"NY",864,"2020-09"
"455",15835,"SC",569,"2020-09"
"456",15836,"NY",536,"2020-10"
"457",15837,"SC",581,"2020-10"
"458",15838,"NY",366,"2020-11"
"459",15839,"SC",320,"2020-11"
"460",15840,"NY",168,"2020-12"
"461",15841,"SC",200,"2020-12"
"462",15842,"NY",286,"2021-01"
"463",15843,"SC",78,"2021-01"
"464",15844,"NY",427,"2021-02"
"465",15845,"SC",108,"2021-02"
"466",15846,"NY",631,"2021-03"
"467",15847,"SC",285,"2021-03"
"468",15848,"ET",1,"2021-04"
"469",15849,"NY",560,"2021-04"
"470",15850,"SC",191,"2021-04"
"471",15851,"NY",518,"2021-05"
"472",15852,"SC",187,"2021-05"
"473",15853,"NY",677,"2021-06"
"474",15854,"SC",215,"2021-06"
"475",15855,"TO",3,"2021-06"
"476",15856,"NY",997,"2021-07"
"477",15857,"SC",375,"2021-07"
"478",15858,"NY",372,"2021-08"
"479",15859,"SC",266,"2021-08"
"480",15860,"TO",922,"2021-08"
"481",15861,"TO",1773,"2021-09"
"482",15862,"TO",1413,"2021-10"
"483",15863,"TO",783,"2021-11"
"484",15864,"NY",1,"2021-12"
"485",15865,"TO",689,"2021-12"
"486",15866,"TO",472,"2022-01"
"487",15867,"TO",536,"2022-02"
"488",15868,"TO",1220,"2022-03"
"489",15869,"TO",1265,"2022-04"
"490",15870,"TO",1269,"2022-05"
"491",15871,"NY",455,"2022-06"
"492",15872,"TO",1658,"2022-06"
"493",15873,"NY",559,"2022-07"
"494",15874,"TO",1507,"2022-07"
"495",15875,"NY",647,"2022-08"
"496",15876,"TO",1656,"2022-08"
"497",15877,"NY",467,"2022-09"
"498",15878,"TO",1108,"2022-09"
"499",15879,"NY",304,"2022-10"
"500",15880,"TO",611,"2022-10"
"501",15881,"NY",329,"2022-11"
"502",15882,"TO",476,"2022-11"
"503",15883,"NY",128,"2022-12"
"504",15884,"TO",556,"2022-12"
"505",15885,"NY",149,"2023-01"
"506",15886,"TO",563,"2023-01"
"507",15887,"NY",156,"2023-02"
"508",15888,"TO",617,"2023-02"
"509",15889,"NY",215,"2023-03"
"510",15890,"TO",929,"2023-03"
"511",15891,"NY",318,"2023-04"
"512",15892,"TO",1086,"2023-04"
"513",15893,"NY",305,"2023-05"
"514",15894,"TO",1507,"2023-05"
"515",15895,"NY",416,"2023-06"
"516",15896,"TO",1507,"2023-06"
"517",15897,"NY",439,"2023-07"
"518",15898,"TO",1628,"2023-07"
"519",15899,"NY",412,"2023-08"
"520",15900,"TO",1649,"2023-08"
"521",15901,"NY",266,"2023-09"
"522",15902,"TO",1156,"2023-09"
"523",15903,"NY",296,"2023-10"
"524",15904,"TO",811,"2023-10"
"525",15905,"NY",260,"2023-11"
"526",15906,"TO",606,"2023-11"
"527",15907,"NY",99,"2023-12"
"528",15908,"TO",646,"2023-12"
"529",15909,"NY",135,"2024-01"
"530",15910,"TO",840,"2024-01"
"531",15911,"NY",193,"2024-02"
"532",15912,"TO",800,"2024-02"
"533",15913,"NY",114,"2024-03"
"534",15914,"TO",1116,"2024-03"
"535",15915,"NY",270,"2024-04"
"536",15916,"TO",1279,"2024-04"
"537",15917,"NY",409,"2024-05"
"538",15918,"TO",1347,"2024-05"
"539",15919,"NY",394,"2024-06"
"540",15920,"TO",1355,"2024-06"
"541",15921,"NY",670,"2024-07"
"542",15922,"TO",1546,"2024-07"
"543",15923,"NY",675,"2024-08"
"544",15924,"TO",1406,"2024-08"
